day,newcastle-coronaV96-01,newcastle-coronaV96-00
0,0.2916666666666667,0.2916666666666667
1,0.16666666666666666,0.16666666666666666
2,0.2916666666666667,0.2916666666666667
3,0.20833333333333334,0.20833333333333334
4,0.2916666666666667,0.2916666666666667
5,0.4166666666666667,0.4166666666666667
6,0.5416666666666666,0.5416666666666666
7,0.75,0.75
8,0.75,0.75
9,0.9166666666666666,0.9166666666666666
10,0.9583333333333334,0.9583333333333334
11,1.3333333333333333,1.3333333333333333
12,1.625,1.625
13,1.9166666666666667,1.9166666666666667
14,1.6666666666666667,1.6666666666666667
15,0.8333333333333334,0.8333333333333334
16,1.9166666666666667,1.9166666666666667
17,1.5833333333333333,1.5833333333333333
18,2.125,2.125
19,2.8333333333333335,2.8333333333333335
20,2.2083333333333335,2.2083333333333335
21,2.25,2.25
22,2.0,2.0
23,2.1666666666666665,2.1666666666666665
24,1.625,1.625
25,2.4583333333333335,2.4583333333333335
26,2.75,2.75
27,2.4166666666666665,2.4166666666666665
28,2.7916666666666665,2.7916666666666665
29,2.625,2.625
30,2.625,2.625
31,1.9583333333333333,1.9583333333333333
32,2.125,2.125
33,2.7083333333333335,2.7083333333333335
34,2.5416666666666665,2.5416666666666665
35,2.4166666666666665,2.4166666666666665
36,2.7083333333333335,2.7083333333333335
37,3.125,3.125
38,2.4166666666666665,2.4166666666666665
39,2.7916666666666665,2.7916666666666665
40,2.5,2.5
41,2.2916666666666665,2.2916666666666665
42,2.4166666666666665,2.4166666666666665
43,2.7916666666666665,2.7916666666666665
44,2.5416666666666665,2.5416666666666665
45,2.375,2.375
46,3.0,3.0
47,2.375,2.375
48,2.9583333333333335,2.9583333333333335
49,2.125,2.125
50,2.1666666666666665,2.1666666666666665
51,3.0416666666666665,3.0416666666666665
52,3.1666666666666665,3.1666666666666665
53,3.0416666666666665,3.0416666666666665
54,3.0833333333333335,3.0833333333333335
55,3.0833333333333335,3.0833333333333335
56,2.3333333333333335,2.3333333333333335
57,2.5,2.5
58,2.6666666666666665,2.6666666666666665
59,2.5833333333333335,2.5833333333333335
60,3.4583333333333335,3.4583333333333335
61,2.9166666666666665,2.9166666666666665
62,2.7083333333333335,2.7083333333333335
63,2.5833333333333335,2.5833333333333335
64,3.1666666666666665,3.1666666666666665
65,2.9166666666666665,2.9166666666666665
66,2.625,2.625
67,2.9166666666666665,2.9166666666666665
68,3.0416666666666665,3.0416666666666665
69,3.2916666666666665,3.2916666666666665
70,2.7916666666666665,2.7916666666666665
71,3.125,3.125
72,2.625,2.625
73,2.4583333333333335,2.4583333333333335
74,3.4166666666666665,3.4166666666666665
75,2.5416666666666665,2.5416666666666665
76,2.7083333333333335,2.7083333333333335
77,2.3333333333333335,2.3333333333333335
78,2.9166666666666665,2.9166666666666665
79,3.7916666666666665,3.7916666666666665
80,2.5833333333333335,2.5833333333333335
81,2.75,2.75
82,2.9166666666666665,2.9166666666666665
83,2.6666666666666665,2.6666666666666665
84,3.25,3.25
85,2.5833333333333335,2.5833333333333335
86,3.0833333333333335,3.0833333333333335
87,2.9583333333333335,2.9583333333333335
88,2.7083333333333335,2.7083333333333335
89,2.4583333333333335,2.4583333333333335
90,2.875,2.875
91,3.7083333333333335,3.7083333333333335
92,8.875,3.9583333333333335
93,3.2916666666666665,3.2083333333333335
94,2.375,2.3333333333333335
95,3.1666666666666665,3.1666666666666665
96,3.625,3.8333333333333335
97,4.166666666666667,2.625
98,5.916666666666667,3.5833333333333335
99,4.958333333333333,3.375
100,4.875,3.0833333333333335
101,3.5833333333333335,2.9166666666666665
102,3.0,3.375
103,3.5,3.3333333333333335
104,4.041666666666667,2.875
105,4.875,3.2083333333333335
106,5.5,3.5416666666666665
107,4.5,3.2083333333333335
108,4.0,2.9166666666666665
109,3.4583333333333335,3.25
110,3.8333333333333335,3.375
111,3.9166666666666665,2.3333333333333335
112,4.208333333333333,3.25
113,4.583333333333333,3.7083333333333335
114,4.166666666666667,3.8333333333333335
115,3.875,3.1666666666666665
116,3.7083333333333335,3.25
117,3.9166666666666665,3.0
118,4.0,2.875
119,4.333333333333333,3.7083333333333335
120,4.208333333333333,3.9583333333333335
121,4.125,3.6666666666666665
122,3.7916666666666665,2.75
123,3.25,3.1666666666666665
124,4.333333333333333,3.3333333333333335
125,4.208333333333333,3.4583333333333335
126,4.0,3.2916666666666665
127,4.333333333333333,3.5833333333333335
128,4.0,3.5
129,3.5833333333333335,3.0416666666666665
130,4.208333333333333,3.375
131,3.9583333333333335,3.7083333333333335
132,3.875,3.0
133,4.541666666666667,3.25
134,4.625,3.5
135,3.1666666666666665,3.5416666666666665
136,4.083333333333333,3.7916666666666665
137,4.25,3.2083333333333335
138,4.416666666666667,3.9583333333333335
139,3.875,3.6666666666666665
140,4.125,3.2916666666666665
141,4.25,3.4583333333333335
142,4.083333333333333,3.9166666666666665
143,3.8333333333333335,2.8333333333333335
144,3.875,3.25
145,3.8333333333333335,4.041666666666667
146,4.291666666666667,3.2916666666666665
147,3.9583333333333335,3.3333333333333335
148,4.291666666666667,3.5833333333333335
149,4.083333333333333,4.708333333333333
150,4.25,4.208333333333333
151,3.4166666666666665,3.375
152,4.125,3.625
153,3.8333333333333335,3.1666666666666665
154,3.9166666666666665,4.25
155,4.75,4.166666666666667
156,4.166666666666667,4.458333333333333
157,4.541666666666667,3.625
158,4.125,3.5833333333333335
159,3.7083333333333335,4.541666666666667
160,4.541666666666667,3.7083333333333335
161,4.208333333333333,4.583333333333333
162,4.416666666666667,4.375
163,5.291666666666667,4.291666666666667
164,4.875,3.9166666666666665
165,4.333333333333333,4.5
166,5.291666666666667,4.041666666666667
167,3.9583333333333335,4.0
168,4.041666666666667,4.833333333333333
169,5.875,4.0
170,4.916666666666667,3.9583333333333335
171,5.083333333333333,5.25
172,4.5,4.458333333333333
173,5.458333333333333,4.583333333333333
174,4.416666666666667,4.375
