day,newcastle-coronaV96-00,newcastle-coronaV96-01
290,2.25,2.8333333333333335
291,1.7291666666666667,3.2083333333333335
292,1.9375,2.6041666666666665
293,2.125,2.4791666666666665
294,2.0833333333333335,2.9375
295,1.7708333333333333,2.4166666666666665
296,2.1041666666666665,3.1041666666666665
297,2.2708333333333335,3.0625
298,1.7708333333333333,2.75
299,2.1458333333333335,2.7916666666666665
300,2.125,1.9583333333333333
301,2.0,2.6666666666666665
302,2.125,2.6666666666666665
303,2.0,2.8333333333333335
304,2.2916666666666665,2.5625
305,1.8541666666666667,2.7708333333333335
306,1.6666666666666667,2.1666666666666665
307,2.0416666666666665,2.75
308,2.4583333333333335,2.6875
309,2.1666666666666665,2.4166666666666665
310,1.9583333333333333,2.5833333333333335
311,2.125,2.7083333333333335
312,2.0416666666666665,2.6041666666666665
313,2.2291666666666665,2.2083333333333335
314,1.9583333333333333,2.6458333333333335
315,1.9166666666666667,2.3958333333333335
316,2.1041666666666665,2.4583333333333335
317,2.0833333333333335,2.8541666666666665
318,2.25,2.9375
319,2.1041666666666665,2.4166666666666665
320,2.0625,2.6666666666666665
321,2.2291666666666665,2.2083333333333335
322,2.1041666666666665,2.4583333333333335
323,2.3541666666666665,2.2291666666666665
324,1.7708333333333333,2.2916666666666665
325,1.9375,3.0
326,2.1666666666666665,2.9375
327,1.9375,2.625
328,2.5,2.6458333333333335
329,2.0,2.0416666666666665
330,2.125,2.9375
331,2.1875,2.5833333333333335
332,1.8125,2.7916666666666665
333,2.0833333333333335,2.3541666666666665
334,2.2708333333333335,2.4375
335,2.0208333333333335,2.6041666666666665
336,2.0833333333333335,1.9583333333333333
337,2.1041666666666665,2.6666666666666665
338,2.0,2.75
339,2.2708333333333335,2.5416666666666665
340,1.6458333333333333,2.3958333333333335
341,2.1041666666666665,2.6875
342,2.1041666666666665,2.0416666666666665
343,2.3958333333333335,2.4791666666666665
344,2.25,2.2708333333333335
345,2.1666666666666665,2.5625
346,2.2708333333333335,2.6041666666666665
347,2.0,2.4375
348,1.9166666666666667,2.5416666666666665
349,2.0833333333333335,2.3333333333333335
